in:AR1,in:AR2,in:Z ,in:Distance,in:Number,out:DA,out:Window Area,img
1,1,1,3,1,0.009259,1,AR11_AR21_Z1_Distance3_Number1.png
2,1,1,3,1,0.037037,2,AR12_AR21_Z1_Distance3_Number1.png
3,1,1,3,1,0.055556,3,AR13_AR21_Z1_Distance3_Number1.png
1,2,1,3,1,0.018519,2,AR11_AR22_Z1_Distance3_Number1.png
2,2,1,3,1,0.083333,4,AR12_AR22_Z1_Distance3_Number1.png
3,2,1,3,1,0.166667,6,AR13_AR22_Z1_Distance3_Number1.png
1,3,1,3,1,0.037037,3,AR11_AR23_Z1_Distance3_Number1.png
2,3,1,3,1,0.194444,6,AR12_AR23_Z1_Distance3_Number1.png
3,3,1,3,1,0.347222,9,AR13_AR23_Z1_Distance3_Number1.png
1,1,2,3,1,0,1,AR11_AR21_Z2_Distance3_Number1.png
2,1,2,3,1,0,2,AR12_AR21_Z2_Distance3_Number1.png
3,1,2,3,1,0.023148,3,AR13_AR21_Z2_Distance3_Number1.png
1,2,2,3,1,0,2,AR11_AR22_Z2_Distance3_Number1.png
2,2,2,3,1,0.060185,4,AR12_AR22_Z2_Distance3_Number1.png
3,2,2,3,1,0.212963,6,AR13_AR22_Z2_Distance3_Number1.png
1,3,2,3,1,0,3,AR11_AR23_Z2_Distance3_Number1.png
2,3,2,3,1,0.208333,6,AR12_AR23_Z2_Distance3_Number1.png
3,3,2,3,1,0.328704,9,AR13_AR23_Z2_Distance3_Number1.png
1,1,3,3,1,0,1,AR11_AR21_Z3_Distance3_Number1.png
2,1,3,3,1,0,2,AR12_AR21_Z3_Distance3_Number1.png
3,1,3,3,1,0,3,AR13_AR21_Z3_Distance3_Number1.png
1,2,3,3,1,0,2,AR11_AR22_Z3_Distance3_Number1.png
2,2,3,3,1,0,4,AR12_AR22_Z3_Distance3_Number1.png
3,2,3,3,1,0.185185,6,AR13_AR22_Z3_Distance3_Number1.png
1,3,3,3,1,0,3,AR11_AR23_Z3_Distance3_Number1.png
2,3,3,3,1,0.157407,6,AR12_AR23_Z3_Distance3_Number1.png
3,3,3,3,1,0.319444,9,AR13_AR23_Z3_Distance3_Number1.png
1,1,1,6,1,0.009259,1,AR11_AR21_Z1_Distance6_Number1.png
2,1,1,6,1,0.037037,2,AR12_AR21_Z1_Distance6_Number1.png
3,1,1,6,1,0.055556,3,AR13_AR21_Z1_Distance6_Number1.png
1,2,1,6,1,0.018519,2,AR11_AR22_Z1_Distance6_Number1.png
2,2,1,6,1,0.087963,4,AR12_AR22_Z1_Distance6_Number1.png
3,2,1,6,1,0.171296,6,AR13_AR22_Z1_Distance6_Number1.png
1,3,1,6,1,0.041667,3,AR11_AR23_Z1_Distance6_Number1.png
2,3,1,6,1,0.194444,6,AR12_AR23_Z1_Distance6_Number1.png
3,3,1,6,1,0.347222,9,AR13_AR23_Z1_Distance6_Number1.png
1,1,2,6,1,0,1,AR11_AR21_Z2_Distance6_Number1.png
2,1,2,6,1,0,2,AR12_AR21_Z2_Distance6_Number1.png
3,1,2,6,1,0.023148,3,AR13_AR21_Z2_Distance6_Number1.png
1,2,2,6,1,0,2,AR11_AR22_Z2_Distance6_Number1.png
2,2,2,6,1,0.060185,4,AR12_AR22_Z2_Distance6_Number1.png
3,2,2,6,1,0.212963,6,AR13_AR22_Z2_Distance6_Number1.png
1,3,2,6,1,0.00463,3,AR11_AR23_Z2_Distance6_Number1.png
2,3,2,6,1,0.199074,6,AR12_AR23_Z2_Distance6_Number1.png
3,3,2,6,1,0.333333,9,AR13_AR23_Z2_Distance6_Number1.png
1,1,3,6,1,0,1,AR11_AR21_Z3_Distance6_Number1.png
2,1,3,6,1,0,2,AR12_AR21_Z3_Distance6_Number1.png
3,1,3,6,1,0,3,AR13_AR21_Z3_Distance6_Number1.png
1,2,3,6,1,0,2,AR11_AR22_Z3_Distance6_Number1.png
2,2,3,6,1,0,4,AR12_AR22_Z3_Distance6_Number1.png
3,2,3,6,1,0.175926,6,AR13_AR22_Z3_Distance6_Number1.png
1,3,3,6,1,0,3,AR11_AR23_Z3_Distance6_Number1.png
