in:S1 X,in:S1 Y,in:S2 X,in:S2 Y,out:Result,img
2,1,2,2,0.911111,S1X2_S1Y1_S2X2_S2Y2.png
3,1,2,2,0.533333,S1X3_S1Y1_S2X2_S2Y2.png
2,2,2,2,0.733333,S1X2_S1Y2_S2X2_S2Y2.png
3,2,2,2,0.277778,S1X3_S1Y2_S2X2_S2Y2.png
2,3,2,2,0.177778,S1X2_S1Y3_S2X2_S2Y2.png
3,3,2,2,0,S1X3_S1Y3_S2X2_S2Y2.png
2,1,3,2,0.905556,S1X2_S1Y1_S2X3_S2Y2.png
3,1,3,2,0.533333,S1X3_S1Y1_S2X3_S2Y2.png
2,2,3,2,0.744444,S1X2_S1Y2_S2X3_S2Y2.png
3,2,3,2,0.272222,S1X3_S1Y2_S2X3_S2Y2.png
2,3,3,2,0.177778,S1X2_S1Y3_S2X3_S2Y2.png
3,3,3,2,0,S1X3_S1Y3_S2X3_S2Y2.png
2,1,2,3,0.922222,S1X2_S1Y1_S2X2_S2Y3.png
3,1,2,3,0.6,S1X3_S1Y1_S2X2_S2Y3.png
2,2,2,3,0.772222,S1X2_S1Y2_S2X2_S2Y3.png
3,2,2,3,0.383333,S1X3_S1Y2_S2X2_S2Y3.png
2,3,2,3,0.261111,S1X2_S1Y3_S2X2_S2Y3.png
3,3,2,3,0,S1X3_S1Y3_S2X2_S2Y3.png
2,1,3,3,0.905556,S1X2_S1Y1_S2X3_S2Y3.png
3,1,3,3,0.505556,S1X3_S1Y1_S2X3_S2Y3.png
2,2,3,3,0.711111,S1X2_S1Y2_S2X3_S2Y3.png
3,2,3,3,0.277778,S1X3_S1Y2_S2X3_S2Y3.png
2,3,3,3,0.105556,S1X2_S1Y3_S2X3_S2Y3.png
3,3,3,3,0,S1X3_S1Y3_S2X3_S2Y3.png
2,1,2,4,0.888889,S1X2_S1Y1_S2X2_S2Y4.png
3,1,2,4,0.505556,S1X3_S1Y1_S2X2_S2Y4.png
2,2,2,4,0.711111,S1X2_S1Y2_S2X2_S2Y4.png
3,2,2,4,0.238889,S1X3_S1Y2_S2X2_S2Y4.png
2,3,2,4,0.116667,S1X2_S1Y3_S2X2_S2Y4.png
3,3,2,4,0,S1X3_S1Y3_S2X2_S2Y4.png
2,1,3,4,0.894444,S1X2_S1Y1_S2X3_S2Y4.png
3,1,3,4,0.516667,S1X3_S1Y1_S2X3_S2Y4.png
2,2,3,4,0.7,S1X2_S1Y2_S2X3_S2Y4.png
3,2,3,4,0.238889,S1X3_S1Y2_S2X3_S2Y4.png
2,3,3,4,0.133333,S1X2_S1Y3_S2X3_S2Y4.png
3,3,3,4,0,S1X3_S1Y3_S2X3_S2Y4.png
