in:Window placement,in:Orientation,out:% of Total Area,out:Panel Number_1,out:Panel Number_2,out:Panel Number_3,out:Panel Number_4,img
394,0,0.5,16,18,14,6,Windowplacement394_Orientation0.png
389,0,0.488889,3,12,4,15,Windowplacement389_Orientation0.png
361,0,0.45,17,18,19,6,Windowplacement361_Orientation0.png
77,0,0.5,0,17,19,6,Windowplacement77_Orientation0.png
144,0,0.494444,17,18,11,6,Windowplacement144_Orientation0.png
189,0,0.55,6,12,14,15,Windowplacement189_Orientation0.png
357,0,0.483333,17,10,13,14,Windowplacement357_Orientation0.png
437,0,0.488889,3,4,14,15,Windowplacement437_Orientation0.png
191,0,0.527778,0,18,6,15,Windowplacement191_Orientation0.png
220,0,0.55,0,18,12,5,Windowplacement220_Orientation0.png
301,0,0.505556,9,18,13,14,Windowplacement301_Orientation0.png
66,0,0.455556,0,16,18,17,Windowplacement66_Orientation0.png
263,0,0.522222,0,17,6,14,Windowplacement263_Orientation0.png
483,0,0.533333,18,12,4,14,Windowplacement483_Orientation0.png
334,0,0.466667,0,19,12,6,Windowplacement334_Orientation0.png
213,0,0.494444,9,4,12,13,Windowplacement213_Orientation0.png
380,0,0.538889,16,17,13,6,Windowplacement380_Orientation0.png
393,0,0.511111,16,18,13,6,Windowplacement393_Orientation0.png
192,0,0.561111,0,19,6,15,Windowplacement192_Orientation0.png
288,0,0.494444,18,12,13,15,Windowplacement288_Orientation0.png
219,0,0.5,0,19,11,5,Windowplacement219_Orientation0.png
190,0,0.533333,0,13,14,15,Windowplacement190_Orientation0.png
100,0,0.505556,0,17,11,5,Windowplacement100_Orientation0.png
375,0,0.544444,16,18,6,15,Windowplacement375_Orientation0.png
257,0,0.711111,8,17,4,5,Windowplacement257_Orientation0.png
131,0,0.722222,2,13,5,6,Windowplacement131_Orientation0.png
80,0,0.694444,16,0,10,2,Windowplacement80_Orientation0.png
0,0,0.722222,0,9,3,19,Windowplacement0_Orientation0.png
382,0,0.683333,10,3,11,6,Windowplacement382_Orientation0.png
218,0,0.711111,0,2,4,7,Windowplacement218_Orientation0.png
349,0,0.666667,0,1,18,10,Windowplacement349_Orientation0.png
228,0,0.727778,9,3,6,7,Windowplacement228_Orientation0.png
179,0,0.7,3,11,5,4,Windowplacement179_Orientation0.png
336,0,0.722222,0,10,4,5,Windowplacement336_Orientation0.png
369,0,0.705556,8,1,19,4,Windowplacement369_Orientation0.png
73,0,0.716667,16,9,11,4,Windowplacement73_Orientation0.png
268,0,0.711111,17,1,4,6,Windowplacement268_Orientation0.png
180,0,0.75,1,10,4,5,Windowplacement180_Orientation0.png
486,0,0.733333,8,11,4,5,Windowplacement486_Orientation0.png
491,0,0.722222,2,18,10,5,Windowplacement491_Orientation0.png
23,0,0.727778,0,9,4,7,Windowplacement23_Orientation0.png
265,0,0.722222,17,2,19,4,Windowplacement265_Orientation0.png
107,0,0.716667,4,13,6,7,Windowplacement107_Orientation0.png
121,0,0.7,0,3,4,5,Windowplacement121_Orientation0.png
59,0,0.75,2,3,5,6,Windowplacement59_Orientation0.png
187,0,0.711111,0,10,4,7,Windowplacement187_Orientation0.png
215,0,0.722222,17,10,4,5,Windowplacement215_Orientation0.png
240,0,0.738889,17,10,1,3,Windowplacement240_Orientation0.png
317,0,0.744444,17,9,3,19,Windowplacement317_Orientation0.png
32,45,0.516667,9,12,13,14,Windowplacement32_Orientation45.png
394,45,0.633333,16,18,14,6,Windowplacement394_Orientation45.png
389,45,0.561111,3,12,4,15,Windowplacement389_Orientation45.png
361,45,0.538889,17,18,19,6,Windowplacement361_Orientation45.png
77,45,0.6,0,17,19,6,Windowplacement77_Orientation45.png
144,45,0.572222,17,18,11,6,Windowplacement144_Orientation45.png
189,45,0.655556,6,12,14,15,Windowplacement189_Orientation45.png
357,45,0.638889,17,10,13,14,Windowplacement357_Orientation45.png
437,45,0.55,3,4,14,15,Windowplacement437_Orientation45.png
191,45,0.705556,0,18,6,15,Windowplacement191_Orientation45.png
220,45,0.7,0,18,12,5,Windowplacement220_Orientation45.png
301,45,0.605556,9,18,13,14,Windowplacement301_Orientation45.png
66,45,0.605556,0,16,18,17,Windowplacement66_Orientation45.png
263,45,0.705556,0,17,6,14,Windowplacement263_Orientation45.png
483,45,0.672222,18,12,4,14,Windowplacement483_Orientation45.png
334,45,0.694444,0,19,12,6,Windowplacement334_Orientation45.png
213,45,0.555556,9,4,12,13,Windowplacement213_Orientation45.png
380,45,0.694444,16,17,13,6,Windowplacement380_Orientation45.png
393,45,0.7,16,18,13,6,Windowplacement393_Orientation45.png
192,45,0.694444,0,19,6,15,Windowplacement192_Orientation45.png
288,45,0.683333,18,12,13,15,Windowplacement288_Orientation45.png
219,45,0.594444,0,19,11,5,Windowplacement219_Orientation45.png
190,45,0.65,0,13,14,15,Windowplacement190_Orientation45.png
100,45,0.583333,0,17,11,5,Windowplacement100_Orientation45.png
375,45,0.705556,16,18,6,15,Windowplacement375_Orientation45.png
257,45,0.744444,8,17,4,5,Windowplacement257_Orientation45.png
131,45,0.733333,2,13,5,6,Windowplacement131_Orientation45.png
80,45,0.727778,16,0,10,2,Windowplacement80_Orientation45.png
0,45,0.777778,0,9,3,19,Windowplacement0_Orientation45.png
382,45,0.677778,10,3,11,6,Windowplacement382_Orientation45.png
218,45,0.733333,0,2,4,7,Windowplacement218_Orientation45.png
349,45,0.711111,0,1,18,10,Windowplacement349_Orientation45.png
228,45,0.677778,9,3,6,7,Windowplacement228_Orientation45.png
179,45,0.733333,3,11,5,4,Windowplacement179_Orientation45.png
336,45,0.766667,0,10,4,5,Windowplacement336_Orientation45.png
369,45,0.738889,8,1,19,4,Windowplacement369_Orientation45.png
73,45,0.733333,16,9,11,4,Windowplacement73_Orientation45.png
268,45,0.733333,17,1,4,6,Windowplacement268_Orientation45.png
180,45,0.75,1,10,4,5,Windowplacement180_Orientation45.png
486,45,0.733333,8,11,4,5,Windowplacement486_Orientation45.png
491,45,0.727778,2,18,10,5,Windowplacement491_Orientation45.png
23,45,0.716667,0,9,4,7,Windowplacement23_Orientation45.png
265,45,0.772222,17,2,19,4,Windowplacement265_Orientation45.png
107,45,0.688889,4,13,6,7,Windowplacement107_Orientation45.png
121,45,0.766667,0,3,4,5,Windowplacement121_Orientation45.png
59,45,0.738889,2,3,5,6,Windowplacement59_Orientation45.png
187,45,0.716667,0,10,4,7,Windowplacement187_Orientation45.png
215,45,0.766667,17,10,4,5,Windowplacement215_Orientation45.png
240,45,0.761111,17,10,1,3,Windowplacement240_Orientation45.png
317,45,0.744444,17,9,3,19,Windowplacement317_Orientation45.png
32,90,0.655556,9,12,13,14,Windowplacement32_Orientation90.png
394,90,0.744444,16,18,14,6,Windowplacement394_Orientation90.png
389,90,0.622222,3,12,4,15,Windowplacement389_Orientation90.png
361,90,0.683333,17,18,19,6,Windowplacement361_Orientation90.png
77,90,0.616667,0,17,19,6,Windowplacement77_Orientation90.png
144,90,0.627778,17,18,11,6,Windowplacement144_Orientation90.png
189,90,0.788889,6,12,14,15,Windowplacement189_Orientation90.png
357,90,0.755556,17,10,13,14,Windowplacement357_Orientation90.png
437,90,0.622222,3,4,14,15,Windowplacement437_Orientation90.png
191,90,0.727778,0,18,6,15,Windowplacement191_Orientation90.png
220,90,0.733333,0,18,12,5,Windowplacement220_Orientation90.png
301,90,0.722222,9,18,13,14,Windowplacement301_Orientation90.png
66,90,0.638889,0,16,18,17,Windowplacement66_Orientation90.png
263,90,0.727778,0,17,6,14,Windowplacement263_Orientation90.png
483,90,0.716667,18,12,4,14,Windowplacement483_Orientation90.png
334,90,0.75,0,19,12,6,Windowplacement334_Orientation90.png
213,90,0.638889,9,4,12,13,Windowplacement213_Orientation90.png
380,90,0.783333,16,17,13,6,Windowplacement380_Orientation90.png
393,90,0.777778,16,18,13,6,Windowplacement393_Orientation90.png
192,90,0.777778,0,19,6,15,Windowplacement192_Orientation90.png
288,90,0.761111,18,12,13,15,Windowplacement288_Orientation90.png
219,90,0.616667,0,19,11,5,Windowplacement219_Orientation90.png
190,90,0.8,0,13,14,15,Windowplacement190_Orientation90.png
100,90,0.633333,0,17,11,5,Windowplacement100_Orientation90.png
375,90,0.777778,16,18,6,15,Windowplacement375_Orientation90.png
257,90,0.744444,8,17,4,5,Windowplacement257_Orientation90.png
131,90,0.75,2,13,5,6,Windowplacement131_Orientation90.png
80,90,0.694444,16,0,10,2,Windowplacement80_Orientation90.png
0,90,0.772222,0,9,3,19,Windowplacement0_Orientation90.png
382,90,0.722222,10,3,11,6,Windowplacement382_Orientation90.png
218,90,0.722222,0,2,4,7,Windowplacement218_Orientation90.png
349,90,0.761111,0,1,18,10,Windowplacement349_Orientation90.png
228,90,0.711111,9,3,6,7,Windowplacement228_Orientation90.png
179,90,0.727778,3,11,5,4,Windowplacement179_Orientation90.png
336,90,0.733333,0,10,4,5,Windowplacement336_Orientation90.png
369,90,0.722222,8,1,19,4,Windowplacement369_Orientation90.png
73,90,0.755556,16,9,11,4,Windowplacement73_Orientation90.png
268,90,0.711111,17,1,4,6,Windowplacement268_Orientation90.png
180,90,0.733333,1,10,4,5,Windowplacement180_Orientation90.png
486,90,0.733333,8,11,4,5,Windowplacement486_Orientation90.png
491,90,0.75,2,18,10,5,Windowplacement491_Orientation90.png
23,90,0.738889,0,9,4,7,Windowplacement23_Orientation90.png
265,90,0.761111,17,2,19,4,Windowplacement265_Orientation90.png
107,90,0.766667,4,13,6,7,Windowplacement107_Orientation90.png
121,90,0.755556,0,3,4,5,Windowplacement121_Orientation90.png
59,90,0.711111,2,3,5,6,Windowplacement59_Orientation90.png
187,90,0.761111,0,10,4,7,Windowplacement187_Orientation90.png
215,90,0.783333,17,10,4,5,Windowplacement215_Orientation90.png
240,90,0.744444,17,10,1,3,Windowplacement240_Orientation90.png
317,90,0.788889,17,9,3,19,Windowplacement317_Orientation90.png
32,135,0.594444,9,12,13,14,Windowplacement32_Orientation135.png
394,135,0.688889,16,18,14,6,Windowplacement394_Orientation135.png
