in:Window placements,out:% of Total Area,out:Panel Numbers_1,out:Panel Numbers_2,out:Panel Numbers_3,out:Panel Numbers_4,img
0,0.716667,8,17,0,3,Windowplacements0.png
1.0,0.633333,16,10,12,7,Windowplacements1.0.png
2.0,0.677778,9,10,14,6,Windowplacements2.0.png
3,0.655556,2,3,18,13,Windowplacements3.png
4.0,0.255556,1,10,18,20,Windowplacements4.0.png
5,0.716667,8,3,6,15,Windowplacements5.png
6,0.672222,7,20,13,15,Windowplacements6.png
7,0.622222,16,1,5,13,Windowplacements7.png
8.0,0.666667,8,1,18,12,Windowplacements8.0.png
9,0.633333,0,2,18,20,Windowplacements9.png
10,0.7,8,0,10,7,Windowplacements10.png
11,0.577778,10,19,4,20,Windowplacements11.png
12,0.672222,14,5,6,7,Windowplacements12.png
13,0.611111,8,9,10,12,Windowplacements13.png
14,0.533333,0,3,11,15,Windowplacements14.png
15,0.616667,16,11,4,13,Windowplacements15.png
16.0,0.483333,16,18,19,15,Windowplacements16.0.png
17,0.627778,15,1,17,7,Windowplacements17.png
18,0.65,15,9,1,7,Windowplacements18.png
19,0.616667,8,9,3,6,Windowplacements19.png
20,0.688889,0,8,20,14,Windowplacements20.png
21,0.722222,9,19,20,4,Windowplacements21.png
22,0.622222,16,18,3,19,Windowplacements22.png
23,0.122222,1,11,4,20,Windowplacements23.png
24,0.672222,9,2,4,7,Windowplacements24.png
25,0.583333,16,0,4,14,Windowplacements25.png
26,0.511111,16,17,12,5,Windowplacements26.png
27,0.622222,16,10,20,14,Windowplacements27.png
28,0.611111,2,11,5,6,Windowplacements28.png
29,0.705556,2,19,14,6,Windowplacements29.png
30,0.655556,0,16,13,6,Windowplacements30.png
31,0.616667,0,16,3,5,Windowplacements31.png
32.0,0.7,9,2,10,17,Windowplacements32.0.png
33,0.661111,0,12,4,20,Windowplacements33.png
34,0.566667,16,19,13,15,Windowplacements34.png
35,0.644444,16,9,4,15,Windowplacements35.png
36,0.6,17,11,19,3,Windowplacements36.png
37,0.6,17,18,11,20,Windowplacements37.png
38,0.611111,18,11,6,14,Windowplacements38.png
39,0.616667,16,2,20,6,Windowplacements39.png
40,0.65,11,4,5,14,Windowplacements40.png
41,0.655556,8,2,11,20,Windowplacements41.png
42,0.655556,17,2,11,19,Windowplacements42.png
43,0.694444,9,19,20,6,Windowplacements43.png
44,0.7,3,20,4,13,Windowplacements44.png
45,0.561111,19,12,5,14,Windowplacements45.png
46,0.65,0,17,2,7,Windowplacements46.png
47,0.572222,15,18,5,7,Windowplacements47.png
48,0.616667,0,16,12,13,Windowplacements48.png
49,0.677778,2,12,6,15,Windowplacements49.png
50,0.611111,16,19,12,6,Windowplacements50.png
51,0.661111,17,2,12,7,Windowplacements51.png
52,0.666667,1,18,14,6,Windowplacements52.png
53,0.633333,16,8,10,6,Windowplacements53.png
54,0.138889,0,18,19,3,Windowplacements54.png
55,0.5,16,18,19,5,Windowplacements55.png
56,0.688889,9,20,6,15,Windowplacements56.png
57,0.65,2,11,12,5,Windowplacements57.png
58,0.488889,18,19,13,15,Windowplacements58.png
59,0.616667,16,19,4,7,Windowplacements59.png
60,0.111111,1,10,20,13,Windowplacements60.png
61,0.6,16,0,11,12,Windowplacements61.png
62,0.666667,8,17,18,6,Windowplacements62.png
63.0,0.666667,1,2,19,15,Windowplacements63.0.png
64.0,0.711111,0,9,3,20,Windowplacements64.0.png
65,0.661111,16,2,6,7,Windowplacements65.png
66,0.65,9,19,4,6,Windowplacements66.png
67,0.644444,10,19,11,6,Windowplacements67.png
68,0.683333,9,2,11,4,Windowplacements68.png
69,0.605556,8,11,6,7,Windowplacements69.png
70,0.622222,2,10,6,14,Windowplacements70.png
71,0.622222,0,17,12,6,Windowplacements71.png
72,0.7,8,20,5,7,Windowplacements72.png
73,0.655556,0,4,20,14,Windowplacements73.png
74,0.605556,18,3,10,5,Windowplacements74.png
75,0.65,4,13,14,6,Windowplacements75.png
76,0.672222,1,9,17,6,Windowplacements76.png
77,0.6,9,5,6,13,Windowplacements77.png
78,0.677778,16,8,18,11,Windowplacements78.png
79,0.627778,4,12,14,13,Windowplacements79.png
80,0.194444,0,16,10,19,Windowplacements80.png
81,0.672222,8,16,19,14,Windowplacements81.png
82,0.505556,8,9,3,12,Windowplacements82.png
83,0.644444,2,20,13,15,Windowplacements83.png
84,0.6,1,9,11,13,Windowplacements84.png
85,0.727778,3,20,19,7,Windowplacements85.png
86,0.638889,10,2,11,6,Windowplacements86.png
87,0.561111,16,12,13,14,Windowplacements87.png
88,0.672222,11,20,19,14,Windowplacements88.png
89,0.744444,1,9,3,18,Windowplacements89.png
90,0.494444,0,17,4,15,Windowplacements90.png
91,0.655556,16,1,19,13,Windowplacements91.png
92,0.655556,2,11,10,7,Windowplacements92.png
93,0.727778,16,8,18,3,Windowplacements93.png
94,0.533333,1,10,17,6,Windowplacements94.png
95,0.522222,8,9,19,13,Windowplacements95.png
96,0.511111,9,11,19,13,Windowplacements96.png
97,0.672222,8,1,19,4,Windowplacements97.png
98,0.633333,0,20,5,14,Windowplacements98.png
99,0.672222,1,10,3,14,Windowplacements99.png
100,0.683333,8,17,0,3,Windowplacements100.png
101,0.65,16,10,12,7,Windowplacements101.png
102,0.705556,9,10,14,6,Windowplacements102.png
103,0.661111,2,3,18,13,Windowplacements103.png
104,0.261111,1,10,18,20,Windowplacements104.png
105,0.722222,8,3,6,15,Windowplacements105.png
106,0.65,7,20,13,15,Windowplacements106.png
107,0.638889,16,1,5,13,Windowplacements107.png
108,0.683333,8,1,18,12,Windowplacements108.png
109,0.616667,0,2,18,20,Windowplacements109.png
110,0.683333,8,0,10,7,Windowplacements110.png
111,0.55,10,19,4,20,Windowplacements111.png
112,0.672222,14,5,6,7,Windowplacements112.png
113,0.611111,8,9,10,12,Windowplacements113.png
114,0.583333,0,3,11,15,Windowplacements114.png
115,0.627778,16,11,4,13,Windowplacements115.png
116,0.477778,16,18,19,15,Windowplacements116.png
117,0.633333,15,1,17,7,Windowplacements117.png
118,0.672222,15,9,1,7,Windowplacements118.png
119,0.616667,8,9,3,6,Windowplacements119.png
120,0.711111,0,8,20,14,Windowplacements120.png
121,0.705556,9,19,20,4,Windowplacements121.png
