in:Window placements,out:% of Total Area,out:Panel Numbers_1,out:Panel Numbers_2,out:Panel Numbers_3,out:Panel Numbers_4,img
0,0.716667,0,9,3,19,Windowplacements0.png
1.0,0.688889,2,11,3,19,Windowplacements1.0.png
2.0,0.633333,18,12,5,4,Windowplacements2.0.png
3,0.605556,0,10,11,19,Windowplacements3.png
4.0,0.627778,8,13,6,15,Windowplacements4.0.png
5,0.638889,1,11,4,12,Windowplacements5.png
6,0.555556,16,9,10,12,Windowplacements6.png
7,0.588889,17,2,18,5,Windowplacements7.png
8.0,0.633333,16,1,13,5,Windowplacements8.0.png
9,0.627778,17,5,14,7,Windowplacements9.png
10,0.627778,1,2,3,15,Windowplacements10.png
11,0.672222,3,11,14,7,Windowplacements11.png
12,0.655556,9,2,3,18,Windowplacements12.png
13,0.6,16,0,2,5,Windowplacements13.png
14,0.677778,0,2,11,15,Windowplacements14.png
15,0.666667,16,2,13,7,Windowplacements15.png
16.0,0.711111,8,17,11,4,Windowplacements16.0.png
17,0.683333,16,9,10,17,Windowplacements17.png
18,0.572222,8,16,18,11,Windowplacements18.png
19,0.666667,1,18,9,5,Windowplacements19.png
20,0.627778,16,18,4,15,Windowplacements20.png
21,0.666667,16,18,3,15,Windowplacements21.png
22,0.655556,19,3,5,6,Windowplacements22.png
23,0.733333,0,9,4,7,Windowplacements23.png
24,0.661111,2,18,4,14,Windowplacements24.png
25,0.622222,8,11,13,14,Windowplacements25.png
26,0.627778,9,1,14,7,Windowplacements26.png
27,0.577778,1,12,13,14,Windowplacements27.png
28,0.533333,0,17,19,12,Windowplacements28.png
29,0.577778,0,6,14,7,Windowplacements29.png
30,0.638889,9,18,19,7,Windowplacements30.png
31,0.6,8,16,17,6,Windowplacements31.png
32.0,0.444444,9,12,13,14,Windowplacements32.0.png
33,0.611111,17,3,13,14,Windowplacements33.png
34,0.572222,18,3,13,14,Windowplacements34.png
35,0.65,8,1,4,15,Windowplacements35.png
36,0.611111,0,8,12,13,Windowplacements36.png
37,0.638889,8,1,2,14,Windowplacements37.png
38,0.65,2,11,12,13,Windowplacements38.png
39,0.672222,8,3,5,14,Windowplacements39.png
40,0.694444,1,4,5,14,Windowplacements40.png
41,0.688889,2,4,5,14,Windowplacements41.png
42,0.638889,9,3,5,14,Windowplacements42.png
43,0.711111,10,11,3,6,Windowplacements43.png
44,0.672222,18,4,5,7,Windowplacements44.png
45,0.694444,8,1,18,10,Windowplacements45.png
46,0.666667,8,2,5,14,Windowplacements46.png
47,0.65,8,2,6,14,Windowplacements47.png
48,0.644444,2,12,5,7,Windowplacements48.png
49,0.688889,0,1,9,12,Windowplacements49.png
50,0.616667,16,17,2,5,Windowplacements50.png
51,0.677778,1,2,11,13,Windowplacements51.png
52,0.644444,8,2,19,5,Windowplacements52.png
53,0.561111,0,1,5,6,Windowplacements53.png
54,0.683333,0,17,10,4,Windowplacements54.png
55,0.683333,17,10,2,6,Windowplacements55.png
56,0.6,1,18,12,5,Windowplacements56.png
57,0.6,18,10,5,6,Windowplacements57.png
58,0.6,1,18,14,6,Windowplacements58.png
59,0.744444,2,3,5,6,Windowplacements59.png
60,0.661111,2,19,12,7,Windowplacements60.png
61,0.627778,1,19,12,7,Windowplacements61.png
62,0.688889,8,17,2,13,Windowplacements62.png
