in:Index,out:% of Total Area,img,Panel_0,Panel_1,Panel_2,Panel_3,Panel_4,Panel_5,Panel_6,Panel_7,Panel_8,Panel_9,Panel_10,Panel_11,Panel_12,Panel_13,Panel_14,Panel_15,Panel_16,Panel_17,Panel_18,Panel_19
0.0,0.594444,Index0.png,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1.0,0.627778,Index1.0.png,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2.0,0.577778,Index2.0.png,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3.0,0.694444,Index3.png,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
4.0,0.666667,Index4.0.png,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5.0,0.7,Index5.png,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
6.0,0.638889,Index6.png,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
7.0,0.65,Index7.png,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8.0,0.677778,Index8.0.png,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9.0,0.638889,Index9.png,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10.0,0.605556,Index10.png,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
11.0,0.577778,Index11.png,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
12.0,0.622222,Index12.png,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
13.0,0.694444,Index13.png,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
14.0,0.694444,Index14.png,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
15.0,0.661111,Index15.png,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16.0,0.594444,Index16.0.png,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17.0,0.638889,Index17.png,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
18.0,0.65,Index18.png,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
19.0,0.627778,Index19.png,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
20.0,0.688889,Index20.png,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
21.0,0.594445,Index21.png,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
22.0,0.661111,Index22.png,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23.0,0.65,Index23.png,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
24.0,0.716667,Index24.png,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25.0,0.644444,Index25.png,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
26.0,0.6,Index26.png,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
27.0,0.605556,Index27.png,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
28.0,0.638889,Index28.png,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
29.0,0.616667,Index29.png,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
30.0,0.527778,Index30.png,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
31.0,0.633333,Index31.png,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
32.0,0.605556,Index32.0.png,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
33.0,0.622222,Index33.png,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
34.0,0.683333,Index34.png,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,0.711111,Index35.png,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
36.0,0.716667,Index36.png,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
37.0,0.627778,Index37.png,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
38.0,0.655556,Index38.png,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39.0,0.611111,Index39.png,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
40.0,0.55,Index40.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
41.0,0.55,Index41.png,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
42.0,0.705556,Index42.png,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43.0,0.605556,Index43.png,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
44.0,0.638889,Index44.png,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
45.0,0.577778,Index45.png,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
46.0,0.655556,Index46.png,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
47.0,0.627778,Index47.png,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48.0,0.594444,Index48.png,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
49.0,0.7,Index49.png,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
50.0,0.572222,Index50.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
51.0,0.683333,Index51.png,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
52.0,0.65,Index52.png,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
